,
ab,1. Die Fahrt kostet ab Hamburg 200 Euro. 2. Ab nächster Woche bleibt unser Geschäft samstags geschlossen. 3. Mein Bruder besucht uns ab und zu.
"abbiegen, biegt ab, bog ab, ist abgebogen",An der nächsten Kreuzung müssen Sie links abbiegen.
"die Abbildung, -en","Hier in der Abbildung sehen Sie, wie man das Gerät einschaltet."
aber,"1. Heute kann ich nicht, aber morgen ganz bestimmt.2. Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren.3. Wir haben nur eine kleine Wohnung, sind aber damit zufrieden.4. Es war sehr schön. Jetzt muss ich aber gehen.5. Ich würde gerne kommen, aber es geht leider nicht.6. Darf ich dich zu einem Kaffee einladen? – Aber ja, sehr gern.7. Du spielst aber gut Klavier."
"der Abfall, -""e",Werfen Sie den Bioabfall in die grüne Tonne.
"abfahren, fährt ab, fuhr ab, ist abgefahren",Unser Zug ist pünktlich abgefahren.
"das Abgas, -e (nur Pl.)",Abgase aus Industrie und Haushalten verschmutzen die Luft.
"abgeben, gibt ab, gab ab, hat abgegeben",Ich soll dieses Päckchen bei Herrn Müller abgeben.
"abhängen, hängt ab, hing ab, hat abgehangen","Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab."
abhängig,Gregor ist finanziell von seinen Eltern abhängig.
"abheben, hebt ab, hob ab, hat abgehoben",Für die Reise habe ich 500 Euro von meinem Konto abgehoben.
"abholen, holt ab, holte ab, hat abgeholt",Meine Freundin hat mich vom Bahnhof abgeholt.
das Abitur,Meine Tochter hat gerade Abitur gemacht.
"ablehnen, lehnt ab, lehnte ab, hat abgelehnt","Es tut mir leid, Ihr Antrag ist abgelehnt."
"amüsieren sich, amüsiert sich, amüsierte sich, hat sich amüsiert",Bei dem Fest haben wir uns sehr gut amüsiert.
