ab;desde,a partir de,de... en adelante;1. Die Fahrt kostet ab Hamburg 200 Euro. 2. Ab nächster Woche bleibt unser Geschäft samstags geschlossen. 3. Mein Bruder besucht uns ab und zu.
abbiegen, biegt ab, bog ab, ist abgebogen;girar,torcer,doblar,evitar;An der nächsten Kreuzung müssen Sie links abbiegen.
die Abbildung, -en;reproducción f,copia f,ilustración f,lámina f,figura f,proyección f;Hier in der Abbildung sehen Sie, wie man das Gerät einschaltet.
aber;pero, sin embargo,bueno, pero;1. Heute kann ich nicht, aber morgen ganz bestimmt.2. Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren.3. Wir haben nur eine kleine Wohnung, sind aber damit zufrieden.4. Es war sehr schön. Jetzt muss ich aber gehen.5. Ich würde gerne kommen, aber es geht leider nicht.6. Darf ich dich zu einem Kaffee einladen? – Aber ja, sehr gern.7. Du spielst aber gut Klavier.
"der Abfall, -""e";apostasía f,disminución f,basura f,desecho m;Werfen Sie den Bioabfall in die grüne Tonne.
abfahren, fährt ab, fuhr ab, ist abgefahren;salir, partir,salir, zarpar,alucinar,recorrer;Unser Zug ist pünktlich abgefahren.
das Abgas, -e (nur Pl.);(gas m de) escape m,gas m de combustión;Abgase aus Industrie und Haushalten verschmutzen die Luft.
abgeben, gibt ab, gab ab, hat abgegeben;dejar (en depósito), depositar,vender,disparar,dar,emitir,irradiar,dar una parte de,ceder,perder,entregar,ofrecer;Ich soll dieses Päckchen bei Herrn Müller abgeben.
abhängen, hängt ab, hing ab, hat abgehangen;depender de,manir,descolgar,bajar,desenganchar,desacoplar;Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.
abhängig;dependiente de,sujeto a;Gregor ist finanziell von seinen Eltern abhängig.
abheben, hebt ab, hob ab, hat abgehoben;despegar,decolar AmS,apartarse de la realidad,no tener los pies en el suelo,aludir a,llamar la atención sobre,quitar,destapar,descolgar,cortar,pasar,retirar,sacar fam;Für die Reise habe ich 500 Euro von meinem Konto abgehoben.
abholen, holt ab, holte ab, hat abgeholt;recoger,trincar;Meine Freundin hat mich vom Bahnhof abgeholt.
das Abitur;bachillerato m,examen m final de enseñanza media (equivalente a las pruebas de Selectividad);Meine Tochter hat gerade Abitur gemacht.
ablehnen, lehnt ab, lehnte ab, hat abgelehnt;rechazar,rechazar, rehusar,denegar,recusar;Es tut mir leid, Ihr Antrag ist abgelehnt.
abmachen, macht ab, machte ab, hat abgemacht;quitar, desprender,despegar,acordar,quedar en fam,fijar,cumplir,hacer;Wir hatten doch abgemacht, dass du die Getränke besorgst.
abnehmen, nimmt ab, nahm ab, hat abgenommen;declinar,decrecer,disminuir,reducirse,bajar,menguar,adelgazar,espichar Cuba, Ven, Mex,descolgar,quitar(se),quitar,quitar de la cuerda,(re)coger,sacar,amputar,retirar,pedir,coger,tomar,escuchar,inspeccionar,realizar,pasar revista a,comprar,creerse,tragarse,sacar una copia de,hacer un molde de;1. Morgen können wir den Verband abnehmen.2. Ich habe zehn Kilo abgenommen.
abonnieren, abonniert, abonnierte, hat abonniert;suscribirse a,abonar;Diese Zeitschrift würde ich gerne abonnieren.
