die Abbildung, -en;reproducción f,copia f,ilustración f,lámina f,figura f,proyección f;NOUN;Hier in der Abbildung sehen Sie, wie man das Gerät einschaltet.
"der Abfall, -""e";apostasía f,disminución f,basura f,desecho m;NOUN;Werfen Sie den Bioabfall in die grüne Tonne.
das Abgas, -e (nur Pl.);(gas m de) escape m,gas m de combustión;NOUN;Abgase aus Industrie und Haushalten verschmutzen die Luft.
das Abitur;bachillerato m,examen m final de enseñanza media (equivalente a las pruebas de Selectividad);NOUN;Meine Tochter hat gerade Abitur gemacht.
das Abonnement, -s;suscripción f,abono m;NOUN;Ich habe das Abonnement gekündigt.
"der Abschluss, -""sse";cierre m,conclusión f,término m,diploma m,título m,transacción f,operación f;NOUN;Ein guter Schulabschluss ist sehr wichtig.
der Absender, -;remitente mf,remite m,expedidor(a) m (f);NOUN;Schicken Sie das Päckchen an den Absender zurück.
die Absicht, -en;intención f,propósito m,objetivo m;NOUN;Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht.
die Abteilung, -en;división f,separación f,sección f,departamento m,sala f,unidad f,destacamento m;NOUN;Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.
die Achtung;atención f,respeto m a;NOUN;Achtung, hier endet die Straße!
die Adresse, -n;dirección f,señas f pl;NOUN;Hast du schon meine neue Adresse?
 die Agentur, -en;agencia f;NOUN;Ich habe einen Brief von der Agentur für Arbeit bekommen.
die Ahnung, -en ;presentimiento m,corazonada f,idea f;NOUN;Ich hatte keine Ahnung, dass du heute Geburtstag hast.
die Aktion, -en ;acción f,promoción f;NOUN;Die Regierung plant eine Aktion gegen das Rauchen.
die Aktivität, -en;actividad f;NOUN;In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.
der Alarm, -e;alarma f,alerta f;NOUN;Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.
der Alkohol;alcohol m;NOUN;1. Du musst die Wunde mit Alkohol reinigen. 2. Nein, danke! Ich trinke keinen Alkohol.
der Alltag;día m (normal),vida f cotidiana,día a día m,rutina f (diaria);NOUN;Das ist mein Alltag: putzen, waschen, kochen.
das Alphabet, -e;alfabeto m,abecedario m;NOUN;Wie viele Buchstaben hat das Alphabet Ihrer Sprache?
das Alter;vejez f,edad f;NOUN;1. Wir sind etwa im gleichen Alter. 2. Im Alter bekomme ich eine ausreichende Rente. 3. Alter: 26 Jahre
das Altenheim, -e ;residencia f de ancianos;NOUN;In Deutschland leben viele alte Leute in Altenheimen.
das Altersheim, e;residencia f de ancianos;NOUN;Die Großeltern unserer Nachbarn sind im Altersheim.
die Ampel, -n;semáforo m,maceta f colgante;NOUN;Dort an der Ampel kannst du über die Straße gehen.
" das Amt, -""er";cargo m,puesto m,obligaciones f pl,departamento m,central f (telefónica),línea f,misa f cantada;NOUN;1. Die ämter haben heute geschlossen. 2. Wissen Sie, wo das Ordnungsamt ist?
das Angebot, -e;ofrecimiento m,oferta f,surtido m;NOUN;1. Ich habe ein paar günstige Wohnungs- angebote bekommen. 2. Dieser Käse ist heute im Angebot.
die änderung, -en;"";NOUN;Es gibt eine Programmänderung.
"der Anfang, -""e";comienzo m,principio m;NOUN;"1. Wie war der Film? – Ich habe nur den Anfang gesehen. 2. Am Anfang habe ich mich hier sehr fremd gefühlt. 3. Mein Chef ist Anfang Fünfzig.4. Meine Mutter war von Anfang an dagegen, dass ich nach Berlin ziehe.
5. Wir machen Anfang Juli Ferien. 6. Meine Freundin wohnt am Anfang
der Straße."
die Angabe,-n;indicación f,dato m,saque m,servicio m,fanfarronería f,chulería f;NOUN;Wir brauchen von Ihnen folgende An- gaben: Name, Adresse, Geburtsdatum.
der Angehörige, -n;"";NOUN;Wir dürfen nur Familienangehörigen Auskunft geben.
"die Angst, -""e";miedo m a/de,naco m Arg,temor m a/de,terror m,espanto m,preocupación f por;NOUN;1. Du brauchst keine Angst zu haben. Der Hund tut dir nichts.2. Ich habe Angst, vielleicht ist etwas passiert.
die Ankunft;llegada f,arribada f;NOUN;1. Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr.2. Gleich nach der Ankunft habe ich meine Eltern angerufen.
die Anlage, -n;disposición f para,inclinación f a,predisposición f a,talento m para,construcción f,jardín m,parque m,polideportivo m,dispositivo m,instalación f,planta f,equipo m,inversión f,anejo m,anexo m,suplemento m;NOUN;1. Meine Musikanlage ist kaputt. 2. In der Anlage finden Sie meinen Lebenslauf.
die Anmeldung, -en;aviso m,declaración f,matrícula f,inscripción f,registro m,inicio (de una sesión) f,recepción f;NOUN;1. Wo bekomme ich die Formulare für die Anmeldung?2. Die Anmeldung ist im Erdgeschoss, Zimmer 55.
die Anrede, -n;tratamiento m,encabezamiento m;NOUN;Du darfst im Brief die Anrede nicht vergessen.
der Anruf, -e;llamada f,llamado m,llamamiento m;NOUN;1. Ich warte auf einen Anruf aus Berlin. 2. Meine Tochter bekommt viele Anrufe auf ihrem Handy.
der Anrufbeantworter, - ;contestador m automático;NOUN;Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.
die Ansage, -n;anuncio m,aviso m,presentación f;NOUN;Achten Sie auf die Ansage am Bahnsteig.
"der Anschluss, -""e";adhesión f a,afiliación f a,unión f a,conexión f a/con,comunicación f con,enlace m,correspondencia f,entronque m AmC,compañía f,amistades f pl;NOUN;1. In Mannheim haben Sie Anschluss nach Saarbrücken. 2. Ich brauche in meiner Wohnung einen Telefonanschluss.
"der Anspruch, - ""e";derecho m a,pretensión f sobre,exigencia f de,pretensiones f pl;NOUN;Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.
der Angestellte, -n;"";NOUN;Björn ist Angestellter in einem Reisebüro.
"der Antrag, -""e";solicitud f de,petición f de,instancia f de,(formulario m de) solicitud f,moción f de,propuesta f de matrimonio;NOUN;1. Haben Sie schon einen Antrag auf Wohngeld gestellt? 2. Die Anträge bekommen Sie in Zimmer 47.
die Antwort, -en;respuesta f a,contestación f a;NOUN;Leider habe ich keine Antwort bekommen.
" der Anwalt, -""e";abogado(-a) m (f),defensor(a) m (f);NOUN;Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.
die Anzeige, -n;anuncio m,esquela f,denuncia f,denuncio m And,indicador m,indicación f,marcador m,visualización f,despliegue m,pantalla f;NOUN;1. Hier dürfen Sie nicht parken, sonst bekommen Sie eine Anzeige.2. Ich habe alle Wohnungsanzeigen gelesen. Aber das ist alles viel zu teuer.
"der Anzug, -""e ";traje m,percha f AmC,aceleración f;NOUN;Mein Mann hat sich einen neuen Anzug gekauft.
das Apartment, -s;apartam(i)ento m;NOUN;Wir haben ein Ferienapartment gemietet.
"der Apfel, -""";manzana f;NOUN;1. Möchtest du einen Apfel? 2. Ein Pfund äpfel bitte.
die Apotheke, -n;farmacia f;NOUN;Ist hier in der Nähe eine Apotheke?
 der Apparat, -e;aparato m,máquina f,teléfono m;NOUN;1. Können Sie den Apparat bitte etwas leiser stellen?2. Wo ist mein Fotoapparat?
der Appetit;apetito m de,antojo m Mex;NOUN;1. Ich habe heute keinen Appetit. Ich mag nichts essen.2. Worauf hast du Appetit? Vielleicht auf einen Salat?3. Guten Appetit! 
die Aprikose, -n;albaricoque m;NOUN;Schmecken dir die Aprikosen?
die Arbeit, -en;trabajo m,labor f,empleo m,molestia f,esfuerzo m,examen m,práctica f;NOUN;1. Wie gefällt dir deine Arbeit? 2. Nach der Ausbildung hat Mohamed eine Arbeit gefunden.
der Arbeiter, -  ;obrero(-a) m (f),trabajador(a) m (f),labriego(-a) m (f);NOUN;Björn ist Arbeiter bei Siemens.
der Arbeitgeber, -;empresario(-a) m (f),patrón(-ona) m (f);NOUN;Wer ist Ihr Arbeitgeber?
der Arbeitnehmer, -;empleado(-a) m (f),asalariado(-a) m (f),trabajador(a) m (f);NOUN;Die Arbeitnehmer wählen einen Betriebsrat.
die Arbeitserlaubnis;permiso m de trabajo;NOUN;Bitte bringen Sie Ihre Arbeitserlaubnis mit.
