ab;desde,a partir de,de... en adelante;OTHER;1. Die Fahrt kostet ab Hamburg 200 Euro. 2. Ab nächster Woche bleibt unser Geschäft samstags geschlossen. 3. Mein Bruder besucht uns ab und zu.
abbiegen, biegt ab, bog ab, ist abgebogen;girar,torcer,doblar,evitar;VERB;An der nächsten Kreuzung müssen Sie links abbiegen.
die Abbildung, -en;reproducción f,copia f,ilustración f,lámina f,figura f,proyección f;NOUN;Hier in der Abbildung sehen Sie, wie man das Gerät einschaltet.
aber;pero, sin embargo,bueno, pero;OTHER;1. Heute kann ich nicht, aber morgen ganz bestimmt.2. Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren.3. Wir haben nur eine kleine Wohnung, sind aber damit zufrieden.4. Es war sehr schön. Jetzt muss ich aber gehen.5. Ich würde gerne kommen, aber es geht leider nicht.6. Darf ich dich zu einem Kaffee einladen? – Aber ja, sehr gern.7. Du spielst aber gut Klavier.
"der Abfall, -""e";apostasía f,disminución f,basura f,desecho m;NOUN;Werfen Sie den Bioabfall in die grüne Tonne.
abfahren, fährt ab, fuhr ab, ist abgefahren;salir, partir,salir, zarpar,alucinar,recorrer;VERB;Unser Zug ist pünktlich abgefahren.
das Abgas, -e (nur Pl.);(gas m de) escape m,gas m de combustión;NOUN;Abgase aus Industrie und Haushalten verschmutzen die Luft.
abgeben, gibt ab, gab ab, hat abgegeben;dejar (en depósito), depositar,vender,disparar,dar,emitir,irradiar,dar una parte de,ceder,perder,entregar,ofrecer;VERB;Ich soll dieses Päckchen bei Herrn Müller abgeben.
abhängen, hängt ab, hing ab, hat abgehangen;depender de,manir,descolgar,bajar,desenganchar,desacoplar;VERB;Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.
abhängig;dependiente de,sujeto a;ADJ;Gregor ist finanziell von seinen Eltern abhängig.
abheben, hebt ab, hob ab, hat abgehoben;despegar,decolar AmS,apartarse de la realidad,no tener los pies en el suelo,aludir a,llamar la atención sobre,quitar,destapar,descolgar,cortar,pasar,retirar,sacar fam;VERB;Für die Reise habe ich 500 Euro von meinem Konto abgehoben.
abholen, holt ab, holte ab, hat abgeholt;recoger,trincar;VERB;Meine Freundin hat mich vom Bahnhof abgeholt.
das Abitur;bachillerato m,examen m final de enseñanza media (equivalente a las pruebas de Selectividad);NOUN;Meine Tochter hat gerade Abitur gemacht.
ablehnen, lehnt ab, lehnte ab, hat abgelehnt;rechazar,rechazar, rehusar,denegar,recusar;VERB;Es tut mir leid, Ihr Antrag ist abgelehnt.
abmachen, macht ab, machte ab, hat abgemacht;quitar, desprender,despegar,acordar,quedar en fam,fijar,cumplir,hacer;VERB;Wir hatten doch abgemacht, dass du die Getränke besorgst.
abnehmen, nimmt ab, nahm ab, hat abgenommen;declinar,decrecer,disminuir,reducirse,bajar,menguar,adelgazar,espichar Cuba, Ven, Mex,descolgar,quitar(se),quitar,quitar de la cuerda,(re)coger,sacar,amputar,retirar,pedir,coger,tomar,escuchar,inspeccionar,realizar,pasar revista a,comprar,creerse,tragarse,sacar una copia de,hacer un molde de;VERB;1. Morgen können wir den Verband abnehmen.2. Ich habe zehn Kilo abgenommen.
abonnieren, abonniert, abonnierte, hat abonniert;suscribirse a,abonar;VERB;Diese Zeitschrift würde ich gerne abonnieren.
das Abonnement, -s;suscripción f,abono m;NOUN;Ich habe das Abonnement gekündigt.
"der Abschluss, -""sse";cierre m,conclusión f,término m,diploma m,título m,transacción f,operación f;NOUN;Ein guter Schulabschluss ist sehr wichtig.
der Absender, -;remitente mf,remite m,expedidor(a) m (f);NOUN;Schicken Sie das Päckchen an den Absender zurück.
die Absicht, -en;intención f,propósito m,objetivo m;NOUN;Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht.
absolut;absoluto,absolutamente,por completo,en absoluto;OTHER;1. Was Sie da sagen, ist absolut falsch. 2. Ich habe absolutes Vertrauen zu dir.
abstimmen, stimmt ab, stimmte ab, hat abgestimmt;votar sobre,ajustar a,compaginar con,sintonizar;VERB;Lasst uns über diesen Punkt abstimmen.
die Abteilung, -en;división f,separación f,sección f,departamento m,sala f,unidad f,destacamento m;NOUN;Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.
abwaschen, wäscht ab,  wusch ab, hat abgewaschen;fregar,limpiar;VERB;Ich muss noch das Geschirr abwaschen.
ach;¡ah!;OTHER;1. Sie sind krank? Ach, das tut mir aber leid. 2. Ach so! Jetzt verstehe ich, was Sie meinen. 3. Ach ja, das hatte ich vergessen. Heute gehen wir ja zu deinen Freunden. 4. Ich habe Angst, ich schaffe es nicht. – Ach was! Das wird schon klappen. 
achten auf, achtet, achtete, hat geachtet;"";VERB;1. Achten Sie bitte darauf, dass abendsimmer alle Fenster geschlossen sind. 2. Hier müssen Sie auf die Vorfahrt achten. 
die Achtung;atención f,respeto m a;NOUN;Achtung, hier endet die Straße!
die Adresse, -n;dirección f,señas f pl;NOUN;Hast du schon meine neue Adresse?
 die Agentur, -en;agencia f;NOUN;Ich habe einen Brief von der Agentur für Arbeit bekommen.
ähnlich;parecido, semejante;ADJ;1. Oleg sieht seinem Bruder sehr ähnlich. 2. Emilia ist in einer ganz ähnlichen Situation wie ich.
aha;¡ajá!, ¡ya!;OTHER;Ich gehe bald in Rente. – Aha, dann haben Sie ja viel Zeit für Ihre Hobbys.
die Ahnung, -en ;presentimiento m,corazonada f,idea f;NOUN;Ich hatte keine Ahnung, dass du heute Geburtstag hast.
die Aktion, -en ;acción f,promoción f;NOUN;Die Regierung plant eine Aktion gegen das Rauchen.
aktiv;activo,en activo,(en) activo;OTHER;Ich bin sehr aktiv und mache viel Sport.
die Aktivität, -en;actividad f;NOUN;In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.
aktuell;actual,de actualidad,de moda;ADJ;Umweltschutz ist ein aktuelles Thema.
akzeptieren, akzeptiert, akzeptierte, hat akzeptiert;aceptar;VERB;Ich kann diese Bedingungen nicht akzeptieren.
der Alarm, -e;alarma f,alerta f;NOUN;Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.
der Alkohol;alcohol m;NOUN;1. Du musst die Wunde mit Alkohol reinigen. 2. Nein, danke! Ich trinke keinen Alkohol.
all-;"";OTHER;1. Alles Gute! 2. Sonst noch (et)was? – Nein, danke. Das ist alles. 3. Sind alle da? 4. Alle unsere Freunde kommen. 5. Hast du alles?
allein;solo, a solas,solo,sólo, solamente,pero, sin embargo;OTHER;1. Ich gehe nicht gern allein spazieren. 2. Soll ich Ihnen helfen? – Danke, ich schaffe es schon allein. 3. Es war sehr teuer. Allein das Essen hat schon über 50 Euro gekostet.
aller-;"";OTHER;1. Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund.2. Das ist das Allerschönste, was ich je gesehen habe.
