abbiegen, biegt ab, bog ab, ist abgebogen;girar,torcer,doblar,evitar;VERB;An der nächsten Kreuzung müssen Sie links abbiegen.
abfahren, fährt ab, fuhr ab, ist abgefahren;salir, partir,salir, zarpar,alucinar,recorrer;VERB;Unser Zug ist pünktlich abgefahren.
abgeben, gibt ab, gab ab, hat abgegeben;dejar (en depósito), depositar,vender,disparar,dar,emitir,irradiar,dar una parte de,ceder,perder,entregar,ofrecer;VERB;Ich soll dieses Päckchen bei Herrn Müller abgeben.
abhängen, hängt ab, hing ab, hat abgehangen;depender de,manir,descolgar,bajar,desenganchar,desacoplar;VERB;Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.
abheben, hebt ab, hob ab, hat abgehoben;despegar,decolar AmS,apartarse de la realidad,no tener los pies en el suelo,aludir a,llamar la atención sobre,quitar,destapar,descolgar,cortar,pasar,retirar,sacar fam;VERB;Für die Reise habe ich 500 Euro von meinem Konto abgehoben.
abholen, holt ab, holte ab, hat abgeholt;recoger,trincar;VERB;Meine Freundin hat mich vom Bahnhof abgeholt.
ablehnen, lehnt ab, lehnte ab, hat abgelehnt;rechazar,rechazar, rehusar,denegar,recusar;VERB;Es tut mir leid, Ihr Antrag ist abgelehnt.
abmachen, macht ab, machte ab, hat abgemacht;quitar, desprender,despegar,acordar,quedar en fam,fijar,cumplir,hacer;VERB;Wir hatten doch abgemacht, dass du die Getränke besorgst.
abnehmen, nimmt ab, nahm ab, hat abgenommen;declinar,decrecer,disminuir,reducirse,bajar,menguar,adelgazar,espichar Cuba, Ven, Mex,descolgar,quitar(se),quitar,quitar de la cuerda,(re)coger,sacar,amputar,retirar,pedir,coger,tomar,escuchar,inspeccionar,realizar,pasar revista a,comprar,creerse,tragarse,sacar una copia de,hacer un molde de;VERB;1. Morgen können wir den Verband abnehmen.2. Ich habe zehn Kilo abgenommen.
abonnieren, abonniert, abonnierte, hat abonniert;suscribirse a,abonar;VERB;Diese Zeitschrift würde ich gerne abonnieren.
abstimmen, stimmt ab, stimmte ab, hat abgestimmt;votar sobre,ajustar a,compaginar con,sintonizar;VERB;Lasst uns über diesen Punkt abstimmen.
abwaschen, wäscht ab,  wusch ab, hat abgewaschen;fregar,limpiar;VERB;Ich muss noch das Geschirr abwaschen.
achten auf, achtet, achtete, hat geachtet;"";VERB;1. Achten Sie bitte darauf, dass abendsimmer alle Fenster geschlossen sind. 2. Hier müssen Sie auf die Vorfahrt achten. 
akzeptieren, akzeptiert, akzeptierte, hat akzeptiert;aceptar;VERB;Ich kann diese Bedingungen nicht akzeptieren.
